# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	38602
#@/user_id	1e00f3d4-bebe-4409-a48d-8e6aa5527cef
a 	啊	c=175 d=1.15467 t=38602
a 	阿	c=1 d=2.06214e-44 t=38602
a a 	啊啊	c=1 d=2.19913e-36 t=38602
a a a 	啊啊啊	c=2 d=4.15439e-20 t=38602
a a a a 	啊啊啊啊	c=0 d=6.09966e-39 t=38602
a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a 	啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊	c=1 d=6.13024e-38 t=38602
a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a 	啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊	c=1 d=4.17501e-19 t=38602
a di san fang 	啊第三方	c=2 d=2.46086e-06 t=38602
a ka 	阿卡	c=0 d=1.79493e-30 t=38602
a ka lin 	阿卡林	c=2 d=4.32975e-06 t=38602
a li 	阿里	c=1 d=9.58798e-06 t=38602
a li ba ba 	阿里巴巴	c=1 d=0.16696 t=38602
a mu si te lang 	阿姆斯特朗	c=1 d=2.29324e-29 t=38602
a sa dan fan 	啊撒旦番	c=1 d=2.30599e-06 t=38602
a si dun 	阿斯頓	c=1 d=3.05674e-57 t=38602
ai 	哎	c=21 d=1.91157e-05 t=38602
ai 	唉	c=63 d=0.722535 t=38602
ai 	愛	c=0 d=9.37197e-33 t=38602
ai 	矮	c=1 d=4.32358e-48 t=38602
ai ai 	唉唉	c=1 d=1.45519e-31 t=38602
ai ai ai 	唉唉唉	c=1 d=9.57432e-48 t=38602
ai chi 	愛吃	c=0 d=6.82168e-61 t=38602
ai chi la 	愛吃辣	c=1 d=6.85587e-60 t=38602
ai ge 	挨個	c=1 d=0.000531398 t=38602
ai guo 	愛國	c=0 d=9.47452e-14 t=38602
ai guo hai xing 	愛國還行	c=1 d=9.52201e-13 t=38602
ai hao 	愛好	c=1 d=6.8182e-54 t=38602
ai hao zhe 	愛好者	c=0 d=6.92006e-53 t=38602
ai hu xi 	愛呼吸	c=1 d=9.41894e-32 t=38602
ai kai yuan 	愛開源	c=1 d=6.36266e-64 t=38602
ai le 	愛樂	c=1 d=6.87245e-59 t=38602
ai li si 	愛麗絲	c=3 d=0.965605 t=38602
ai li si de 	愛麗絲的	c=1 d=1.18365e-13 t=38602
ai mi li 	艾米里	c=0 d=8.67233e-32 t=38602
ai mi li ya 	艾米里亞	c=1 d=8.7158e-31 t=38602
ai qiu 	哀求	c=0 d=1.39619e-45 t=38602
ai qiu zhe 	哀求着	c=1 d=1.40318e-44 t=38602
ai ren 	愛人	c=0 d=4.98957e-58 t=38602
ai ren he 	愛人和	c=1 d=5.01458e-57 t=38602
ai ya 	哎呀	c=3 d=2.69296e-08 t=38602
ai ya wo qu 	哎呀我去	c=1 d=2.57457e-08 t=38602
ai zhe shi 	哎這是	c=1 d=3.94541e-30 t=38602
an 	按	c=6 d=0.0294518 t=38602
an 	案	c=0 d=1.07989e-19 t=38602
an bei 	安倍	c=1 d=5.0748e-21 t=38602
an bu chu 	按不出	c=1 d=8.78936e-71 t=38602
an bu jiu ban 	按部就班	c=2 d=0.199654 t=38602
an cuo jian 	按錯鍵	c=1 d=1.27294e-45 t=38602
an da shi 	安達市	c=0 d=4.51322e-54 t=38602
an da shi fu jian sheng dia fen ji ou 	安達市福建省嗲分奇偶	c=1 d=4.53584e-53 t=38602
an ji xia 	按幾下	c=1 d=3.2092e-12 t=38602
an jian 	按鍵	c=1 d=4.13888e-63 t=38602
an jian a 	按鍵啊	c=1 d=4.159e-62 t=38602
an jian dui 	按鍵對	c=1 d=2.65967e-67 t=38602
an jing 	安靜	c=2 d=3.97188e-11 t=38602
an li 	安利	c=1 d=6.73909e-05 t=38602
an li guo 	安利過	c=1 d=1.08961e-39 t=38602
an mo 	按摩	c=1 d=7.14707e-20 t=38602
an na ge 	按哪個	c=1 d=2.12892e-66 t=38602
an niu 	按鈕	c=10 d=1.51618e-14 t=38602
an pai 	安排	c=2 d=4.67312e-14 t=38602
an pai ce lve 	安排策略	c=1 d=1.39357e-22 t=38602
an qing 	安慶	c=2 d=7.21574e-66 t=38602
an quan 	安全	c=6 d=0.0339596 t=38602
an quan cuo shi 	安全措施	c=0 d=2.95161e-58 t=38602
an quan cuo shi lai 	安全措施來	c=1 d=2.9664e-57 t=38602
an quan de 	安全的	c=2 d=3.41406e-32 t=38602
an quan deng lu 	安全登錄	c=1 d=3.0585e-05 t=38602
an quan fang mian 	安全方面	c=1 d=8.19122e-36 t=38602
an quan xing 	安全性	c=1 d=3.50057e-05 t=38602
an quan zhou qi 	安全週期	c=1 d=2.01437e-33 t=38602
an shi 	暗示	c=1 d=2.26103e-39 t=38602
an shi jian 	按時間	c=1 d=0.00117675 t=38602
an shi zhe 	暗示着	c=1 d=2.05535e-64 t=38602
an shun xu 	按順序	c=1 d=1.46573e-57 t=38602
an wen 	安穩	c=0 d=0.00488012 t=38602
an xia 	按下	c=6 d=7.31779e-33 t=38602
an xin 	安心	c=0 d=1.85281e-21 t=38602
an xin deng 	安心等	c=1 d=1.86209e-20 t=38602
an xin le yi dian 	安心了一點	c=1 d=1.85212e-45 t=38602
an yi ge 	按一個	c=1 d=6.31371e-32 t=38602
an yi xia 	按一下	c=1 d=4.07943e-70 t=38602
an zhao 	按照	c=14 d=0.01649 t=38602
an zhao ti shi 	按照提示	c=1 d=8.15592e-44 t=38602
an zhu 	按住	c=1 d=5.08274e-10 t=38602
an zhuang 	安裝	c=5 d=0.085316 t=38602
an zhuang cheng xu 	安裝程序	c=1 d=2.53486e-31 t=38602
an zhuang de 	安裝的	c=1 d=1.01788e-32 t=38602
an zhuang hao 	安裝好	c=1 d=4.25039e-53 t=38602
an zhuang le 	安裝了	c=1 d=7.08944e-14 t=38602
an zhuang pan 	安裝盤	c=1 d=4.91796e-34 t=38602
an zhuang qi lai 	安裝起來	c=1 d=3.03013e-13 t=38602
an zhuang suo you geng xin 	安裝所有更新	c=1 d=4.99058e-30 t=38602
an zhuang yuan yin 	安裝原因	c=2 d=5.27682e-38 t=38602
an zhuo 	安卓	c=1 d=2.85941e-66 t=38602
ang 	昂	c=0 d=2.02729e-21 t=38602
ao 	嗷	c=9 d=0.00190171 t=38602
ao 	敖	c=0 d=1.11833e-52 t=38602
ao ao 	嗷嗷	c=2 d=1.42071e-43 t=38602
ao chang zhang 	敖廠長	c=1 d=1.12394e-51 t=38602
ao si ka 	奧斯卡	c=1 d=8.06489e-59 t=38602
ao zhou 	澳洲	c=0 d=0.000606634 t=38602
ba 	吧	c=105 d=0.812035 t=38602
ba 	把	c=70 d=1.59456 t=38602
ba ba 	爸爸	c=1 d=1.95511e-64 t=38602
ba che 	把車	c=1 d=1.28241e-44 t=38602
ba hen 	疤痕	c=0 d=1.07653e-45 t=38602
ba ni 	把你	c=0 d=4.68144e-14 t=38602
ba ni de 	把你的	c=1 d=4.70491e-13 t=38602
ba shi 	巴士	c=0 d=1.00307e-37 t=38602
ba ta men 	把他們	c=1 d=3.57189e-07 t=38602
ba wang 	霸王	c=0 d=9.96336e-47 t=38602
ba wang can 	霸王餐	c=1 d=1.00133e-45 t=38602
ba wo 	把我	c=0 d=1.81544e-46 t=38602
ba wo 	把握	c=1 d=0.22091 t=38602
ba wo song dao 	把我送到	c=1 d=1.82454e-45 t=38602
ba wo zhu 	把握住	c=1 d=4.21338e-09 t=38602
ba zi 	八字	c=0 d=1.30988e-59 t=38602
ba zi bu he 	八字不合	c=3 d=6.01109e-13 t=38602
bai 	白	c=0 d=9.18795e-35 t=38602
bai bai 	拜拜	c=1 d=2.24082e-51 t=38602
bai chi 	白癡	c=0 d=1.07653e-45 t=38602
bai chi ba hen 	白癡疤痕	c=1 d=1.08193e-44 t=38602
bai chi bai he 	白吃白喝	c=1 d=1.08735e-44 t=38602
bai dong 	擺動	c=1 d=1.48555e-68 t=38602
bai du 	百度	c=8 d=0.0188734 t=38602
bai du sou suo 	百度搜索	c=1 d=1.1e-33 t=38602
bai du wang pan 	百度網盤	c=4 d=5.53461e-12 t=38602
bai fang zhe 	擺放着	c=0 d=0.00138427 t=38602
bai fang zhe de 	擺放着的	c=1 d=0.013912 t=38602
bai fen bi 	百分比	c=1 d=8.22808e-30 t=38602
bai gou 	白溝	c=1 d=0.000242381 t=38602
bai he 	百合	c=10 d=0.272004 t=38602
bai he bai he 	百合百合	c=3 d=6.24324e-10 t=38602
bai he de 	百合的	c=1 d=0.242926 t=38602
bai jian 	白劍	c=1 d=7.39007e-31 t=38602
bai jin 	白金	c=1 d=2.27708e-34 t=38602
bai ke 	百科	c=2 d=3.62526e-05 t=38602
bai ming dan 	白名單	c=1 d=0.000759701 t=38602
bai nian 	百年	c=0 d=2.68689e-26 t=38602
bai nian zu zhou 	百年詛咒	c=1 d=1.17895e-25 t=38602
bai ping 	白屏	c=1 d=7.30387e-40 t=38602
bai se 	白色	c=2 d=1.5535e-06 t=38602
bai shi 	百世	c=0 d=8.36978e-26 t=38602
bai tuo 	擺脫	c=0 d=3.6622e-37 t=38602
bai tuo bu diao le 	擺脫不掉了	c=1 d=3.68055e-36 t=38602
bai ya 	白鴉	c=1 d=0.00010622 t=38602
bai zhao 	百兆	c=0 d=7.10416e-09 t=38602
bai zhao guang xian 	百兆光纖	c=1 d=7.13977e-08 t=38602
ban 	伴	c=1 d=2.63741e-27 t=38602
ban 	半	c=2 d=5.92963e-10 t=38602
ban 	搬	c=1 d=0.000357068 t=38602
ban 	板	c=0 d=1.5898e-14 t=38602
ban 	版	c=22 d=0.230433 t=38602
ban 	瓣	c=1 d=2.52256e-62 t=38602
ban 	般	c=1 d=9.26924e-20 t=38602
ban ben 	版本	c=9 d=0.00216728 t=38602
ban ben hao 	版本號	c=6 d=2.33104e-05 t=38602
ban ben jian 	版本間	c=1 d=8.50757e-70 t=38602
ban ben jiao fu de shi hou la 	版本交付的時候啦	c=1 d=4.01827e-10 t=38602
ban che 	班車	c=0 d=3.74661e-11 t=38602
ban dao 	搬到	c=1 d=7.41575e-13 t=38602
ban er 	伴兒	c=0 d=1.51381e-26 t=38602
ban er bai nian 	伴兒百年	c=1 d=1.52139e-25 t=38602
ban fa 	辦法	c=2 d=2.02275e-23 t=38602
ban fen 	半分	c=0 d=2.45317e-29 t=38602
ban fen zi 	半分子	c=1 d=3.0481e-28 t=38602
ban fen zi gui dao 	半分子軌道	c=1 d=5.85551e-28 t=38602
ban ge 	半個	c=1 d=7.3076e-46 t=38602
ban ge xue qi 	半個學期	c=1 d=1.20437e-70 t=38602
ban ge yue 	半個月	c=3 d=1.03106e-36 t=38602
ban gong 	辦公	c=2 d=0.0173669 t=38602
ban gong lou 	辦公樓	c=1 d=2.96963e-11 t=38602
ban gong qu 	辦公區	c=9 d=0.298085 t=38602
ban gong shi 	辦公室	c=1 d=3.40727e-11 t=38602
ban gong shi nei 	辦公室內	c=1 d=1.91255e-11 t=38602
ban gong zhuo yi 	辦公桌椅	c=1 d=0.0120946 t=38602
ban jing ling 	半精靈	c=1 d=8.8034e-31 t=38602
ban kuai 	板塊	c=2 d=4.26639e-19 t=38602
ban li 	辦理	c=0 d=7.52526e-10 t=38602
ban miao 	半秒	c=1 d=9.98235e-39 t=38602
ban qin shi 	搬寢室	c=1 d=6.61015e-13 t=38602
ban quan 	版權	c=1 d=2.87628e-47 t=38602
ban qun 	伴羣	c=2 d=5.66074e-27 t=38602
ban shan 	版衫	c=1 d=3.07269e-30 t=38602
ban shou 	扳手	c=1 d=8.27777e-42 t=38602
ban tian 	半天	c=4 d=8.4876e-13 t=38602
ban xiao qu 	搬校區	c=1 d=6.64328e-13 t=38602
ban yan 	扮演	c=0 d=1.43056e-37 t=38602
ban ye 	伴夜	c=1 d=7.367e-53 t=38602
ban ye 	半頁	c=1 d=2.01753e-22 t=38602
ban you 	伴有	c=1 d=0.470011 t=38602
ban yu quan 	搬玉泉	c=1 d=0.00358858 t=38602
ban zi 	板子	c=1 d=1.24105e-70 t=38602
bang 	幫	c=2 d=9.46616e-32 t=38602
bang bang mang 	幫幫忙	c=1 d=8.46514e-70 t=38602
bang ding 	綁定	c=0 d=0.00262523 t=38602
bang ding dao le 	綁定到了	c=1 d=4.39416e-62 t=38602
bang ding shou ji 	綁定手機	c=1 d=0.0263839 t=38602
bang ge mang 	幫個忙	c=1 d=8.9316e-54 t=38602
bang le 	綁了	c=1 d=4.57504e-66 t=38602
bang mang 	幫忙	c=1 d=7.85348e-70 t=38602
bang ni 	幫你	c=2 d=7.65852e-39 t=38602
bang qiu 	棒球	c=1 d=0.110803 t=38602
bang shou 	幫手	c=0 d=3.04739e-22 t=38602
bang wo 	幫我	c=1 d=1.7838e-44 t=38602
bang zhu 	幫助	c=2 d=6.64215e-11 t=38602
bang zhu wo 	幫助我	c=1 d=1.55853e-44 t=38602
bang zhu zi ji 	幫助自己	c=1 d=2.17873e-44 t=38602
bao 	包	c=23 d=0.00221494 t=38602
bao 	報	c=2 d=0.798516 t=38602
bao 	寶	c=0 d=0.0341298 t=38602
bao 	爆	c=1 d=2.88088e-07 t=38602
bao chi 	保持	c=3 d=0.000409735 t=38602
bao chi gong si 	保持公司	c=1 d=5.33045e-11 t=38602
bao chi zhe 	保持着	c=0 d=8.41576e-61 t=38602
bao chi zhe bu bian 	保持着不變	c=1 d=8.45794e-60 t=38602
bao cun 	保存	c=5 d=3.55832e-05 t=38602
bao cun cheng 	保存成	c=1 d=8.82919e-37 t=38602
bao cun cheng wen jian 	保存成文件	c=1 d=8.87345e-36 t=38602
bao cun de 	保存的	c=1 d=7.61927e-08 t=38602
bao cun le 	保存了	c=1 d=1.28246e-15 t=38602
bao cun zai 	保存在	c=1 d=3.18332e-06 t=38602
bao cuo 	報錯	c=7 d=6.29699e-06 t=38602
bao fa 	爆發	c=1 d=5.22223e-05 t=38602
bao fu 	包袱	c=0 d=0.00381969 t=38602
bao gao 	報告	c=28 d=0.0575881 t=38602
bao ge cuo 	報個錯	c=1 d=9.47905e-48 t=38602
bao guan li 	包管理	c=1 d=2.59003e-49 t=38602
bao guan li qi 	包管理器	c=3 d=0.000355517 t=38602
bao guan li qi ma 	包管理器嘛	c=1 d=0.00031751 t=38602
bao han 	包含	c=4 d=6.49161e-06 t=38602
bao han liang ceng 	包含兩層	c=1 d=1.89416e-15 t=38602
bao han zhe 	包含着	c=5 d=1.23286e-15 t=38602
bao jing 	報警	c=0 d=1.33734e-09 t=38602
bao jing ren 	報警人	c=1 d=1.34404e-08 t=38602
bao kuo 	包括	c=10 d=0.000360517 t=38602
bao kuo dan bu xian yu 	包括但不限於	c=1 d=3.10473e-05 t=38602
bao kuo le 	包括了	c=1 d=6.72742e-14 t=38602
bao le 	爆了	c=1 d=8.11412e-13 t=38602
bao liu 	保留	c=5 d=0.00893673 t=38602
bao liu le xia lai 	保留了下來	c=1 d=0.0898153 t=38602
bao liu she zhi 	保留設置	c=1 d=0.0473589 t=38602
bao liu zhe 	保留着	c=0 d=0.00953692 t=38602
bao lu 	暴露	c=1 d=1.24926e-30 t=38602
bao lu chu lai 	暴露出來	c=1 d=3.52531e-29 t=38602
bao lu la 	暴露辣	c=1 d=1.86172e-47 t=38602
bao ming 	包名	c=1 d=0.00142298 t=38602
bao ming 	報名	c=0 d=1.16156e-57 t=38602
bao ming biao 	報名表	c=1 d=6.41261e-09 t=38602
bao ming ru kou 	報名入口	c=1 d=1.16738e-56 t=38602
bao qian 	抱歉	c=1 d=0.0205478 t=38602
bao rong 	包容	c=1 d=5.652e-53 t=38602
bao you 	保有	c=1 d=1 t=38595
bao you 	抱有	c=1 d=2.10051e-55 t=38602
bao zha 	爆炸	c=3 d=9.814e-28 t=38602
bao zha bao zha 	爆炸爆炸	c=1 d=1.98371e-29 t=38602
bao zha la 	爆炸啦	c=3 d=7.60348e-13 t=38602
bao zha le 	爆炸了	c=1 d=1.98546e-11 t=38602
bao zhang 	保障	c=1 d=5.05911e-15 t=38602
bao zhang le 	保障了	c=1 d=5.08447e-14 t=38602
bao zhe 	抱着	c=1 d=6.52616e-39 t=38602
bao zheng 	保證	c=1 d=3.32984e-06 t=38602
bao zheng an quan 	保證安全	c=1 d=4.71357e-64 t=38602
bao zheng bu da si ni 	保證不打死你	c=1 d=1.8287e-13 t=38602
bao zheng le 	包整了	c=2 d=5.05911e-14 t=38602
bao zhu 	寶珠	c=1 d=7.79331e-09 t=38602
bao zhuang 	包裝	c=3 d=1.73892e-10 t=38602
bao zhuang cheng 	包裝成	c=1 d=1.74764e-09 t=38602
bei 	倍	c=3 d=1.71834e-16 t=38602
bei 	備	c=0 d=8.13486e-44 t=38602
bei 	北	c=0 d=1.59658e-64 t=38602
bei 	唄	c=9 d=0.386741 t=38602
bei 	背	c=1 d=2.34396e-51 t=38602
bei 	被	c=52 d=0.0155158 t=38602
bei ban 	背板	c=1 d=3.41392e-63 t=38602
bei bao han 	被包含	c=1 d=1.78258e-36 t=38602
bei chai xia lai de 	被拆下來的	c=1 d=1.02811e-32 t=38602
bei cheng shu 	被乘數	c=1 d=3.63008e-50 t=38602
bei cheng wei 	被稱爲	c=1 d=4.2141e-11 t=38602
bei da kai 	被打開	c=1 d=9.39973e-08 t=38602
bei dao 	被盜	c=1 d=0.183599 t=38602
bei de 	倍的	c=1 d=3.35213e-54 t=38602
bei dong 	被動	c=2 d=6.81209e-22 t=38602
bei dong ren zheng 	被動認證	c=1 d=1.88985e-47 t=38602
bei dong yu tai 	被動語態	c=1 d=1.68518e-22 t=38602
bei fa jue 	被發掘	c=1 d=4.72191e-26 t=38602
bei fei qi 	被廢棄	c=1 d=0.000774818 t=38602
bei fen pei 	被分配	c=1 d=1.88343e-07 t=38602
bei feng 	被封	c=1 d=2.5358e-06 t=38602
bei guang 	背光	c=1 d=5.68769e-62 t=38602
bei hou 	背後	c=0 d=5.77146e-06 t=38602
bei huan chu 	被換出	c=1 d=1.16524e-05 t=38602
bei jiao zhu 	被叫住	c=1 d=1.02916e-44 t=38602
bei jing 	北京	c=2 d=3.24168e-63 t=38602
bei jing 	背景	c=7 d=1.85602e-11 t=38602
bei jing 	背淨	c=1 d=3.04947e-29 t=38602
bei jing jie shao 	背景介紹	c=1 d=1.97577e-70 t=38602
bei jing shi jian 	北京時間	c=2 d=3.08284e-10 t=38602
bei jing tu 	背景圖	c=1 d=7.50791e-70 t=38602
bei ju 	悲劇	c=2 d=0.0774916 t=38602
bei ke xuan yi lai 	被可選依賴	c=1 d=4.5886e-42 t=38602
bei lan jie le 	被攔截了	c=1 d=1.47588e-50 t=38602
bei mei 	北美	c=2 d=0.00012465 t=38602
bei mei qun 	北美羣	c=1 d=1.65981e-20 t=38602
bei po 	被迫	c=1 d=2.28492e-45 t=38602
bei po le 	被破了	c=1 d=1.83281e-10 t=38602
bei qiang le 	被牆了	c=1 d=0.000713734 t=38602
bei ren 	被人	c=0 d=5.2338e-32 t=38602
